Last_Name,First_Name,Division,Country,BIB,Overall_Place,Time,Seconds,Year,Gender,Marathon
laskowski,conrad,25-29,USA,378,64,02:27:14,8834.0,2014,M,Chicago
pearson,neil,40-44,GBR,374,65,02:27:25,8845.0,2014,M,Chicago
morales,jonnatan,30-34,MEX,62,66,02:27:30,8850.0,2014,M,Chicago
suda,matt,25-29,CAN,323,67,02:27:45,8865.0,2014,M,Chicago
davidson,aaron,30-34,USA,84,68,02:27:57,8877.0,2014,M,Chicago
wallor,eric,30-34,USA,301,69,02:28:04,8884.0,2014,M,Chicago
van veen,jeremy,35-39,USA,313,70,02:28:30,8910.0,2014,M,Chicago
favela,emisael,35-39,MEX,386,71,02:28:47,8927.0,2014,M,Chicago
mccurdy,matt,35-39,USA,82,72,02:28:59,8939.0,2014,M,Chicago
munoz,jose,25-29,USA,311,73,02:29:06,8946.0,2014,M,Chicago
capriolo,michael,30-34,USA,321,74,02:29:21,8961.0,2014,M,Chicago
denny,jeffrey,20-24,USA,355,75,02:29:27,8967.0,2014,M,Chicago
piedra aviles,bayron,30-34,ECU,41,76,02:29:29,8969.0,2014,M,Chicago
williams,richard,25-29,USA,1217,77,02:29:29,8969.0,2014,M,Chicago
wilson,mickey,30-34,USA,1013,78,02:29:35,8975.0,2014,M,Chicago
lecointre,jacques-sylvain,30-34,FRA,1600,79,02:29:37,8977.0,2014,M,Chicago
young,phil,25-29,USA,76,80,02:29:45,8985.0,2014,M,Chicago
ohara,chip,30-34,USA,93,81,02:29:52,8992.0,2014,M,Chicago
duncan,andrew,45-49,USA,85,82,02:29:53,8993.0,2014,M,Chicago
weisenberger,curtis,25-29,USA,4072,83,02:30:17,9017.0,2014,M,Chicago
caprario,nicholas,25-29,USA,1800,84,02:30:21,9021.0,2014,M,Chicago
akita,james,30-34,USA,361,85,02:30:36,9036.0,2014,M,Chicago
braithwaite,matthew,25-29,USA,320,86,02:30:41,9041.0,2014,M,Chicago
paris,hunter,30-34,USA,324,87,02:30:50,9050.0,2014,M,Chicago
you,peiquan,25-29,CHN,370,88,02:30:55,9055.0,2014,M,Chicago
prom,william,25-29,USA,349,89,02:31:12,9072.0,2014,M,Chicago
henry,justin,30-34,USA,307,90,02:31:18,9078.0,2014,M,Chicago
benton,jacob,20-24,USA,358,91,02:31:25,9085.0,2014,M,Chicago
pinter,daniel,25-29,USA,100,92,02:31:28,9088.0,2014,M,Chicago
oliver,kevin,20-24,USA,4011,93,02:31:55,9115.0,2014,M,Chicago
roth,mike,25-29,USA,387,94,02:31:57,9117.0,2014,M,Chicago
chorney,matthew,25-29,USA,351,95,02:31:58,9118.0,2014,M,Chicago
troester,nathan,20-24,USA,278,96,02:31:59,9119.0,2014,M,Chicago
denny,brian,25-29,USA,87,97,02:32:06,9126.0,2014,M,Chicago
tarneja,ankur,30-34,USA,86,98,02:32:11,9131.0,2014,M,Chicago
soprano,steve,25-29,USA,495,99,02:32:12,9132.0,2014,M,Chicago
parks,jason,30-34,USA,312,100,02:32:13,9133.0,2014,M,Chicago
bareikis,arturs,25-29,LVA,61,102,02:32:42,9162.0,2014,M,Chicago
montenegro,lionel,25-29,USA,319,104,02:33:05,9185.0,2014,M,Chicago
derks,andy,30-34,USA,79,105,02:33:06,9186.0,2014,M,Chicago
mascote,yonatan,25-29,USA,2554,106,02:33:12,9192.0,2014,M,Chicago
kiplagat,florence,25-29,KEN,101,33,02:23:33,8613.0,2015,F,Chicago
melese,yebrgual,25-29,ETH,106,35,02:23:43,8623.0,2015,F,Chicago
dibaba,birhane,20-24,ETH,102,40,02:24:24,8664.0,2015,F,Chicago
fukushi,kayoko,30-34,JPN,108,41,02:24:25,8665.0,2015,F,Chicago
seboka,mulu,30-34,ETH,105,44,02:24:40,8680.0,2015,F,Chicago
assefa,meskerem,30-34,ETH,109,48,02:25:11,8711.0,2015,F,Chicago
kastor,deena,40-44,USA,103,67,02:27:47,8867.0,2015,F,Chicago
nukuri,diane,30-34,BDI,110,76,02:29:13,8953.0,2015,F,Chicago
draskau petersson,jessica,35-39,DNK,113,80,02:30:07,9007.0,2015,F,Chicago
hall,sara,30-34,USA,120,90,02:31:14,9074.0,2015,F,Chicago
partridge,susan,35-39,GBR,112,94,02:31:31,9091.0,2015,F,Chicago
crouch,sarah,25-29,USA,117,106,02:32:51,9171.0,2015,F,Chicago
britton,fionnuala,30-34,IRL,115,112,02:33:15,9195.0,2015,F,Chicago
juodeskaite,monika,20-24,LTU,124,126,02:34:29,9269.0,2015,F,Chicago
arenas,maritza,25-29,MEX,3023,166,02:38:21,9501.0,2015,F,Chicago
