official_time,place_overall,net_time,contry_citizenship,display_name,gender,gender_result,division_result,year,division,age_graded_time,age,city,state,seconds,residence,pace,overall,first_name,last_name,bib,name,country_residence,name_suffix,5k,10k,15k,20k,half,25k,30k,35k,40k,projected_time
02:29:57,81,02:29:51,Costa Rica,Cesar Lizano Cedeño,M,71.0,,2021.0,,,,,,8997.0,,,,,,,,,,,,,,,,,,,
02:30:00,82,02:29:54,USA,Nathan Bickell,M,72.0,,2021.0,,,,,,9000.0,,,,,,,,,,,,,,,,,,,
02:30:02,79,02:29:46,USA,Timothy Shea,M,69.0,,2021.0,,,,,,9002.0,,,,,,,,,,,,,,,,,,,
02:30:03,84,02:30:02,USA,Sean Macdonald,M,73.0,,2021.0,,,,,,9003.0,,,,,,,,,,,,,,,,,,,
02:30:08,80,02:29:51,USA,Korey Larson,M,70.0,,2021.0,,,,,,9008.0,,,,,,,,,,,,,,,,,,,
02:30:17,86,02:30:17,USA,Eric Blake,M,75.0,,2021.0,,,,,,9017.0,,,,,,,,,,,,,,,,,,,
02:30:25,87,02:30:23,USA,Evan Gates,M,76.0,,2021.0,,,,,,9025.0,,,,,,,,,,,,,,,,,,,
02:30:39,85,02:30:12,USA,Terry Tossman,M,74.0,,2021.0,,,,,,9039.0,,,,,,,,,,,,,,,,,,,
02:30:45,89,02:30:43,USA,Charles Rodeheffer,M,77.0,,2021.0,,,,,,9045.0,,,,,,,,,,,,,,,,,,,
02:30:45,90,02:30:44,USA,Timothy Lillehaugen,M,78.0,,2021.0,,,,,,9045.0,,,,,,,,,,,,,,,,,,,
02:31:01,92,02:30:59,USA,John Gaffney,M,80.0,,2021.0,,,,,,9061.0,,,,,,,,,,,,,,,,,,,
02:31:07,96,02:31:07,USA,Carlos Trujillo,M,83.0,,2021.0,,,,,,9067.0,,,,,,,,,,,,,,,,,,,
02:31:10,95,02:31:06,Mexico,Sergio Paredes,M,82.0,,2021.0,,,,,,9070.0,,,,,,,,,,,,,,,,,,,
02:31:23,97,02:31:22,USA,Alex Hebert,M,84.0,,2021.0,,,,,,9083.0,,,,,,,,,,,,,,,,,,,
02:31:25,98,02:31:23,USA,Fan Zhou,M,85.0,,2021.0,,,,,,9085.0,,,,,,,,,,,,,,,,,,,
02:31:26,93,02:31:03,TWN,Meng-Tsung Chu,M,81.0,,2021.0,,,,,,9086.0,,,,,,,,,,,,,,,,,,,
02:31:48,102,02:31:44,USA,Jonathan Keller,M,89.0,,2021.0,,,,,,9108.0,,,,,,,,,,,,,,,,,,,
02:31:56,103,02:31:52,USA,Mitchell Baum,M,90.0,,2021.0,,,,,,9116.0,,,,,,,,,,,,,,,,,,,
02:32:03,107,02:32:03,USA,Kevin Wright,M,94.0,,2021.0,,,,,,9123.0,,,,,,,,,,,,,,,,,,,
02:32:07,106,02:32:01,USA,Cristobal Gutierrez,M,93.0,,2021.0,,,,,,9127.0,,,,,,,,,,,,,,,,,,,
02:32:14,108,02:32:11,USA,Kenny Rayner,M,95.0,,2021.0,,,,,,9134.0,,,,,,,,,,,,,,,,,,,
02:32:17,109,02:32:12,USA,Scott Bushey,M,96.0,,2021.0,,,,,,9137.0,,,,,,,,,,,,,,,,,,,
02:32:17,112,02:32:15,USA,Michael Scarlett,M,99.0,,2021.0,,,,,,9137.0,,,,,,,,,,,,,,,,,,,
02:32:26,113,02:32:24,USA,Corey Purcella,M,100.0,,2021.0,,,,,,9146.0,,,,,,,,,,,,,,,,,,,
02:32:37,111,02:32:13,USA,Alexander Maher,M,98.0,,2021.0,,,,,,9157.0,,,,,,,,,,,,,,,,,,,
02:32:40,110,02:32:13,USA,Jordan Tropf,M,97.0,,2021.0,,,,,,9160.0,,,,,,,,,,,,,,,,,,,
02:32:54,104,02:31:53,USA,Jerome Ross,M,91.0,,2021.0,,,,,,9174.0,,,,,,,,,,,,,,,,,,,
02:34:12,99,02:31:31,USA,Brett Burdick,M,86.0,,2021.0,,,,,,9252.0,,,,,,,,,,,,,,,,,,,
02:34:25,91,02:30:48,USA,Michael Duggan,M,79.0,,2021.0,,,,,,9265.0,,,,,,,,,,,,,,,,,,,
02:35:34,66,02:28:26,USA,Dustin Martin,M,58.0,,2021.0,,,,,,9334.0,,,,,,,,,,,,,,,,,,,
02:39:35,100,02:31:34,USA,Matthew Farkas,M,87.0,,2021.0,,,,,,9575.0,,,,,,,,,,,,,,,,,,,
02:40:12,101,02:31:34,USA,Robert Giuliani,M,88.0,,2021.0,,,,,,9612.0,,,,,,,,,,,,,,,,,,,
02:40:32,105,02:31:54,USA,Erik Hinrichsen,M,92.0,,2021.0,,,,,,9632.0,,,,,,,,,,,,,,,,,,,
02:06:51,1,02:06:51,Kenya,Evans Chebet,M,1,1,2022.0,,,,,,7611.0,,,,,,,,,,,,,,,,,,,
02:07:21,2,02:07:21,Kenya,Lawrence Cherono,M,2,2,2022.0,,,,,,7641.0,,,,,,,,,,,,,,,,,,,
02:07:27,3,02:07:27,Kenya,Benson Kipruto,M,3,3,2022.0,,,,,,7647.0,,,,,,,,,,,,,,,,,,,
02:07:53,4,02:07:53,Tanzania,Gabriel Geay,M,4,4,2022.0,,,,,,7673.0,,,,,,,,,,,,,,,,,,,
02:08:47,5,02:08:47,Kenya,Eric Kiptanui,M,5,5,2022.0,,,,,,7727.0,,,,,,,,,,,,,,,,,,,
02:08:50,6,02:08:50,Kenya,Albert Korir,M,6,6,2022.0,,,,,,7730.0,,,,,,,,,,,,,,,,,,,
02:08:52,7,02:08:52,USA,Scott Fauble,M,7,7,2022.0,,,,,,7732.0,,,,,,,,,,,,,,,,,,,
02:08:58,8,02:08:58,Ethiopia,Jemal Yimer,M,8,8,2022.0,,,,,,7738.0,,,,,,,,,,,,,,,,,,,
02:09:07,9,02:09:07,USA,Elkanah Kibet,M,9,9,2022.0,,,,,,7747.0,,,,,,,,,,,,,,,,,,,
02:09:16,10,02:09:16,Ethiopia,Kinde Atanaw,M,10,10,2022.0,,,,,,7756.0,,,,,,,,,,,,,,,,,,,
02:09:43,11,02:09:43,Ethiopia,Lemi Berhanu,M,11,11,2022.0,,,,,,7783.0,,,,,,,,,,,,,,,,,,,
02:09:44,12,02:09:44,Kenya,Bethwell Yegon,M,12,12,2022.0,,,,,,7784.0,,,,,,,,,,,,,,,,,,,
02:10:23,13,02:10:23,USA,Cj Albertson,M,13,13,2022.0,,,,,,7823.0,,,,,,,,,,,,,,,,,,,
02:10:35,14,02:10:35,USA,Matthew Mcdonald,M,14,14,2022.0,,,,,,7835.0,,,,,,,,,,,,,,,,,,,
02:10:52,15,02:10:52,Canada,Trevor Hofbauer,M,15,15,2022.0,,,,,,7852.0,,,,,,,,,,,,,,,,,,,
02:10:54,16,02:10:54,USA,Reed Fischer,M,16,16,2022.0,,,,,,7854.0,,,,,,,,,,,,,,,,,,,
02:11:48,17,02:11:48,USA,Mick Iacofano,M,17,17,2022.0,,,,,,7908.0,,,,,,,,,,,,,,,,,,,
02:11:49,18,02:11:49,Kenya,Geoffrey Kamworor,M,18,18,2022.0,,,,,,7909.0,,,,,,,,,,,,,,,,,,,
02:12:08,19,02:12:08,USA,Colin Bennie,M,19,19,2022.0,,,,,,7928.0,,,,,,,,,,,,,,,,,,,
02:12:55,20,02:12:55,Japan,Yuki Kawauchi,M,20,20,2022.0,,,,,,7975.0,,,,,,,,,,,,,,,,,,,
02:13:46,21,02:13:46,USA,Mike Sayenko,M,21,21,2022.0,,,,,,8026.0,,,,,,,,,,,,,,,,,,,
02:14:10,22,02:14:10,USA,Jerrell Mock,M,22,22,2022.0,,,,,,8050.0,,,,,,,,,,,,,,,,,,,
02:14:40,23,02:14:40,USA,Jonas Hampton,M,23,23,2022.0,,,,,,8080.0,,,,,,,,,,,,,,,,,,,
02:14:48,24,02:14:48,USA,Ian Butler,M,24,24,2022.0,,,,,,8088.0,,,,,,,,,,,,,,,,,,,
02:15:08,25,02:15:08,USA,Paul Hogan,M,25,25,2022.0,,,,,,8108.0,,,,,,,,,,,,,,,,,,,
02:15:24,26,02:15:24,USA,Jared Ward,M,26,26,2022.0,,,,,,8124.0,,,,,,,,,,,,,,,,,,,
02:16:39,27,02:16:39,USA,Matthew Llano,M,27,27,2022.0,,,,,,8199.0,,,,,,,,,,,,,,,,,,,
02:18:42,28,02:18:36,USA,Benjamin Schneiderman,M,28,28,2022.0,,,,,,8322.0,,,,,,,,,,,,,,,,,,,
02:19:23,29,02:19:23,USA,Nico Montanez,M,29,29,2022.0,,,,,,8363.0,,,,,,,,,,,,,,,,,,,
02:19:39,30,02:19:39,USA,Tyler Pence,M,30,30,2022.0,,,,,,8379.0,,,,,,,,,,,,,,,,,,,
02:21:34,34,02:21:33,Canada,Alex Neuffer,M,31,31,2022.0,,,,,,8494.0,,,,,,,,,,,,,,,,,,,
02:21:51,36,02:21:46,USA,Nathanael Williams,M,32,32,2022.0,,,,,,8511.0,,,,,,,,,,,,,,,,,,,
02:22:45,38,02:22:36,USA,Esteban Trujillo,M,33,33,2022.0,,,,,,8565.0,,,,,,,,,,,,,,,,,,,
02:23:16,39,02:23:11,USA,Sergey Sushchikh,M,34,34,2022.0,,,,,,8596.0,,,,,,,,,,,,,,,,,,,
02:23:44,40,02:23:44,Canada,Calum Neff,M,35,35,2022.0,,,,,,8624.0,,,,,,,,,,,,,,,,,,,
02:23:59,42,02:23:56,USA,David Sevcik,M,36,36,2022.0,,,,,,8639.0,,,,,,,,,,,,,,,,,,,
02:24:15,43,02:24:15,USA,Prescott Leach,M,37,37,2022.0,,,,,,8655.0,,,,,,,,,,,,,,,,,,,
02:24:17,44,02:24:17,USA,Samuel Fazioli,M,38,38,2022.0,,,,,,8657.0,,,,,,,,,,,,,,,,,,,
02:24:26,45,02:24:26,Mexico,Daniel Ortiz Perez,M,39,39,2022.0,,,,,,8666.0,,,,,,,,,,,,,,,,,,,
02:24:38,46,02:24:36,USA,Alexander Healey,M,40,40,2022.0,,,,,,8678.0,,,,,,,,,,,,,,,,,,,
02:24:44,47,02:24:42,USA,Jordan Tropf,M,41,41,2022.0,,,,,,8684.0,,,,,,,,,,,,,,,,,,,
02:24:52,49,02:24:52,Italy,Markus Ploner,M,42,1,2022.0,,,,,,8692.0,,,,,,,,,,,,,,,,,,,
02:25:02,50,02:24:56,USA,Everett Hackett,M,43,42,2022.0,,,,,,8702.0,,,,,,,,,,,,,,,,,,,
02:25:06,52,02:25:01,USA,Joe Kortenhof,M,44,44,2022.0,,,,,,8706.0,,,,,,,,,,,,,,,,,,,
02:25:08,51,02:25:00,USA,Mitchell Baum,M,45,43,2022.0,,,,,,8708.0,,,,,,,,,,,,,,,,,,,
02:25:18,53,02:25:16,USA,Benjamin Macdonald,M,46,45,2022.0,,,,,,8718.0,,,,,,,,,,,,,,,,,,,
02:25:32,56,02:25:27,USA,Richard Ho,M,47,46,2022.0,,,,,,8732.0,,,,,,,,,,,,,,,,,,,
02:25:33,57,02:25:31,USA,Dylan Sykes,M,48,47,2022.0,,,,,,8733.0,,,,,,,,,,,,,,,,,,,
02:25:42,58,02:25:42,Australia,Michael Roeger,M,49,48,2022.0,,,,,,8742.0,,,,,,,,,,,,,,,,,,,
02:25:47,59,02:25:44,USA,Ryan Burd,M,50,49,2022.0,,,,,,8747.0,,,,,,,,,,,,,,,,,,,
02:26:02,61,02:25:58,USA,Matthew Mulligan,M,51,50,2022.0,,,,,,8762.0,,,,,,,,,,,,,,,,,,,
02:26:07,62,02:26:07,Canada,Dennis Mbelenzi,M,52,2,2022.0,,,,,,8767.0,,,,,,,,,,,,,,,,,,,
02:26:32,63,02:26:30,USA,Micah Adams,M,53,51,2022.0,,,,,,8792.0,,,,,,,,,,,,,,,,,,,
02:26:48,64,02:26:48,USA,Kenneth Goodfellow,M,54,52,2022.0,,,,,,8808.0,,,,,,,,,,,,,,,,,,,
02:26:57,65,02:26:48,USA,Daniel Pederson,M,55,53,2022.0,,,,,,8817.0,,,,,,,,,,,,,,,,,,,
02:26:59,67,02:26:55,USA,David Walter,M,56,55,2022.0,,,,,,8819.0,,,,,,,,,,,,,,,,,,,
02:27:00,66,02:26:55,USA,Fan Zhou,M,57,54,2022.0,,,,,,8820.0,,,,,,,,,,,,,,,,,,,
02:27:12,68,02:27:11,USA,Stephen Vangampleare,M,58,56,2022.0,,,,,,8832.0,,,,,,,,,,,,,,,,,,,
02:27:22,71,02:27:20,Canada,Steven Lawrence,M,59,3,2022.0,,,,,,8842.0,,,,,,,,,,,,,,,,,,,
02:27:24,72,02:27:21,USA,Matt Mcsween,M,60,59,2022.0,,,,,,8844.0,,,,,,,,,,,,,,,,,,,
02:27:26,70,02:27:12,USA,Peter Hogan,M,61,58,2022.0,,,,,,8846.0,,,,,,,,,,,,,,,,,,,
02:27:28,73,02:27:22,Canada,Ryan Rafuse,M,62,60,2022.0,,,,,,8848.0,,,,,,,,,,,,,,,,,,,
02:27:31,74,02:27:31,USA,Josh Baden,M,63,61,2022.0,,,,,,8851.0,,,,,,,,,,,,,,,,,,,
02:27:34,76,02:27:34,USA,Ben Bruce,M,64,63,2022.0,,,,,,8854.0,,,,,,,,,,,,,,,,,,,
02:27:35,75,02:27:32,Canada,Aaron Manning,M,65,62,2022.0,,,,,,8855.0,,,,,,,,,,,,,,,,,,,
02:27:40,77,02:27:40,Netherlands,Niels Baljet,M,66,64,2022.0,,,,,,8860.0,,,,,,,,,,,,,,,,,,,
02:27:43,69,02:27:12,USA,Zachary Holden,M,67,57,2022.0,,,,,,8863.0,,,,,,,,,,,,,,,,,,,
02:27:43,78,02:27:41,USA,James Hartop,M,68,65,2022.0,,,,,,8863.0,,,,,,,,,,,,,,,,,,,
02:27:51,79,02:27:43,USA,Matthew Sarge,M,69,66,2022.0,,,,,,8871.0,,,,,,,,,,,,,,,,,,,
02:27:55,81,02:27:51,USA,Ben Jaskowiak,M,70,68,2022.0,,,,,,8875.0,,,,,,,,,,,,,,,,,,,
02:28:03,83,02:27:59,USA,Andrew Skurka,M,72,4,2022.0,,,,,,8883.0,,,,,,,,,,,,,,,,,,,
02:28:03,80,02:27:47,USA,Vinny Castronuovo,M,71,67,2022.0,,,,,,8883.0,,,,,,,,,,,,,,,,,,,
02:28:03,85,02:28:03,USA,Chip O'Hara,M,73,5,2022.0,,,,,,8883.0,,,,,,,,,,,,,,,,,,,
02:28:05,87,02:28:05,Spain,Nacho Hernando,M,74,69,2022.0,,,,,,8885.0,,,,,,,,,,,,,,,,,,,
02:28:13,88,02:28:05,USA,Doug Woodcock,M,75,70,2022.0,,,,,,8893.0,,,,,,,,,,,,,,,,,,,
02:28:16,89,02:28:09,USA,Nicholas Victor,M,76,71,2022.0,,,,,,8896.0,,,,,,,,,,,,,,,,,,,
02:28:21,90,02:28:17,Great Britain,Stephen Jackson,M,77,72,2022.0,,,,,,8901.0,,,,,,,,,,,,,,,,,,,
02:28:21,91,02:28:19,Ireland,Derek Griffin,M,78,73,2022.0,,,,,,8901.0,,,,,,,,,,,,,,,,,,,
02:28:23,86,02:28:03,Japan,Yuzuru Sakakibara,M,79,6,2022.0,,,,,,8903.0,,,,,,,,,,,,,,,,,,,
02:28:27,94,02:28:24,USA,Joseph Darda,M,80,76,2022.0,,,,,,8907.0,,,,,,,,,,,,,,,,,,,
02:28:30,92,02:28:22,Great Britain,Ben Cole,M,81,74,2022.0,,,,,,8910.0,,,,,,,,,,,,,,,,,,,
02:28:31,95,02:28:28,USA,Brian Schroy,M,82,77,2022.0,,,,,,8911.0,,,,,,,,,,,,,,,,,,,
02:28:36,96,02:28:30,USA,Tyler Morey,M,83,78,2022.0,,,,,,8916.0,,,,,,,,,,,,,,,,,,,
02:28:39,97,02:28:38,Poland,Wojciech Kopec,M,84,79,2022.0,,,,,,8919.0,,,,,,,,,,,,,,,,,,,
02:28:40,99,02:28:39,Great Britain,Daniel Alexander,M,86,81,2022.0,,,,,,8920.0,,,,,,,,,,,,,,,,,,,
02:28:40,93,02:28:23,USA,Cristobal Gutierrez,M,85,75,2022.0,,,,,,8920.0,,,,,,,,,,,,,,,,,,,
02:28:42,100,02:28:39,USA,Shaun Dever,M,87,82,2022.0,,,,,,8922.0,,,,,,,,,,,,,,,,,,,
02:28:46,101,02:28:45,Great Britain,Paul Piper,M,88,7,2022.0,,,,,,8926.0,,,,,,,,,,,,,,,,,,,
02:28:46,102,02:28:46,USA,Ashton Grissom,M,89,83,2022.0,,,,,,8926.0,,,,,,,,,,,,,,,,,,,
02:28:50,104,02:28:50,USA,Joshua Kalapos,M,90,84,2022.0,,,,,,8930.0,,,,,,,,,,,,,,,,,,,
02:28:51,98,02:28:39,USA,Brandon Abasolo,M,91,80,2022.0,,,,,,8931.0,,,,,,,,,,,,,,,,,,,
02:29:09,105,02:29:08,USA,Anthony Williams,M,92,85,2022.0,,,,,,8949.0,,,,,,,,,,,,,,,,,,,
02:29:18,107,02:29:11,USA,Mitchell Germann,M,93,87,2022.0,,,,,,8958.0,,,,,,,,,,,,,,,,,,,
