"Last Name, First Name",Time,OverAll,Sex Place,DIV,Country
Zach Miller (M),2:32:55,70,63 / 4,M35-39,USA
Sarah Pagano (F),2:33:11,71,8 / 10,FElite30-34,USA
Meseret Belete Tola (F),2:33:14,72,9 / 4,FElite20-24,Ethiopia
Stephen Clevenger (M),2:33:19,73,64 / 5,M35-39,USA
Lindsay Flanagan (F),2:33:20,74,10 / 11,FElite30-34,USA
Alan Ash (M),2:33:26,75,65 / 19,M30-34,USA
Eduardo Perez Sandi Garcia (M),2:33:27,76,66 / 2,M20-24,Mexico
Brian Schroy (M),2:33:46,77,67 / 20,M30-34,USA
Seth Kolosso (M),2:33:48,78,68 / 14,M25-29,USA
Walker Mogen (M),2:34:22,79,69 / 15,M25-29,USA
Jackson Lindquist (M),2:34:24,80,70 / 16,M25-29,USA
Diane Nukuri (F),2:34:25,81,11 / 5,FElite35-39,USA
Robby Nierman (M),2:34:26,82,71 / 21,M30-34,USA
Bryan Lindquist (M),2:34:33,83,72 / 22,M30-34,USA
Brian Hurley (M),2:34:37,84,73 / 1,M40-44,USA
Michael Zahara (M),2:34:39,85,74 / 23,M30-34,Canada
Michael Castellani (M),2:34:44,86,75 / 24,M30-34,USA
Daiana Ocampo (F),2:34:46,87,12 / 12,FElite30-34,Argentina
Kent Smith (M),2:35:01,88,76 / 25,M30-34,USA
Derek Johnsrud (M),2:35:13,89,77 / 26,M30-34,USA
Josh Baden (M),2:35:23,90,78 / 27,M30-34,USA
Alia Gray (F),2:35:24,91,13 / 13,FElite30-34,USA
Micah Drew (M),2:35:31,92,79 / 17,M25-29,USA
Bria Wetsch (F),2:35:52,93,14 / 14,FElite30-34,USA
Henry Janssen (M),2:36:04,94,80 / 28,M30-34,USA
Ryan Phillips (M),2:36:17,95,81 / 18,M25-29,USA
Derrick Lloyd (M),2:36:19,96,82 / 19,M25-29,USA
Evan Cooper (M),2:36:27,97,83 / 29,M30-34,USA
Amanda Phillips (F),2:36:30,98,15 / 1,F35-39,USA
Juan Pablo Hernandez Mendoza (M),2:36:36,99,84 / 2,M40-44,Mexico
Eric Stratman (M),2:36:42,100,85 / 20,M25-29,USA

