"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Brandon Dworak (M26),2:20:46,30,29 / 18,M25-29,"Memphis, TN, USA",2:20:46
Jemima Sumgong Jelegat (F28),2:20:48,31,2 / 1,F25-29,KEN,2:20:48
Glenn Randall (M27),2:21:32,32,30 / 19,M25-29,"Mesa, CO, USA",2:21:32
Bret Fransen (M32),2:21:43,33,31 / 8,M30-34,"Jacksonville Beach, FL, USA",2:21:43
Samuel Morse (M30),2:21:57,34,32 / 9,M30-34,"Camden, NY, USA",2:21:57
Robert Winslow (M25),2:22:39,35,33 / 20,M25-29,"North York, ON, CAN",2:22:39
Matthew Blume (M32),2:22:44,36,34 / 10,M30-34,"Chicago, IL, USA",2:22:44
Maria Konovalova (F39),2:22:46,37,3 / 1,F35-39,RUS,2:17:10
Ian Forsyth (M41),2:23:01,38,35 / 1,M40-44,"Ann Arbor, MI, CAN",2:18:25
Matt Hensley (M25),2:23:16,39,36 / 21,M25-29,"Lafayette, CO, USA",2:23:16
Michael Capriolo (M29),2:23:28,40,37 / 22,M25-29,"Akron, OH, USA",2:23:28
Aliaksandra Duliba (F27),2:23:44,41,4 / 2,F25-29,BLR,2:23:44
Brian Finnel (M26),2:23:47,42,38 / 23,M25-29,"Madison, WI, USA",2:23:47
Kevin Havel (M23),2:23:59,43,39 / 3,M20-24,"Laguna Niguel, CA, USA",2:23:59
Brian Walker (M31),2:24:11,44,40 / 11,M30-34,"Winnipeg, MB, CAN",2:24:11
Jared Burdick (M27),2:24:28,45,41 / 24,M25-29,"Manlius, NY, USA",2:24:28
Dale Taylor (M25),2:25:11,46,42 / 25,M25-29,"San Francisco, CA, USA",2:25:11
Josh Whitehead (M35),2:25:36,47,43 / 3,M35-39,"Madison, AL, USA",2:25:36
Andrew Foxenberg (M29),2:25:41,48,44 / 26,M25-29,"Kirkville, NY, USA",2:25:41
Matthew Kruger (M25),2:25:45,49,45 / 27,M25-29,"Clayton, MO, USA",2:25:45
Adam Schroer (M24),2:25:59,50,46 / 4,M20-24,"Bowling Green, IN, USA",2:25:59
Stephen Muturi (M38),2:26:02,51,47 / 4,M35-39,USA,2:24:43
Matthew Lawder (M24),2:26:21,52,48 / 5,M20-24,"Saint Louis, MO, USA",2:26:21
Jeremy Van Veen (M34),2:26:28,53,49 / 12,M30-34,"Aberdeen, SD, USA",2:26:28
Tommy Ries (M26),2:26:38,54,50 / 28,M25-29,"Iowa City, IA, USA",2:26:38
Atsede Baysa (F26),2:26:42,55,5 / 3,F25-29,ETH,2:26:42
Steve Soprano (M25),2:26:46,56,51 / 29,M25-29,"Flagstaff, NY, USA",2:26:46
Christian Mercier (M39),2:27:09,57,52 / 5,M35-39,"Quebec, QC, CAN",2:24:47
Ramiro Guillen (M31),2:27:14,58,53 / 13,M30-34,"Goleta, CA, USA",2:27:14
Jordan Desilets (M32),2:27:42,59,54 / 14,M30-34,"Pinckney, MI, USA",2:27:42
Ehitu Kiros Reda (F25),2:27:42,60,6 / 4,F25-29,ETH,2:27:42
Yukiko Akaba (F33),2:27:49,61,7 / 2,F30-34,JPN,2:26:53
Emisael Favela (M36),2:27:52,62,55 / 6,M35-39,"Berwyn, IL, USA",2:27:43
Daniel McNeil (M27),2:27:52,63,56 / 30,M25-29,"Glace Bay, NS, CAN",2:27:52
Lee McCarron (M25),2:27:57,64,57 / 31,M25-29,"Antigonish, NS, CAN",2:27:57
Philippe Rolly (M41),2:27:59,65,58 / 2,M40-44,"Mclean, VA, USA",2:23:13
James Akita (M33),2:28:16,66,59 / 15,M30-34,"Elmhurst, IL, USA",2:28:16
Blue Benadum (M33),2:28:20,67,60 / 16,M30-34,"Los Angeles, CA, USA",2:28:20
David Medellin (M29),2:28:31,68,61 / 32,M25-29,"Chicago, IL, USA",2:28:31
Dastaho Svench (M37),2:28:33,69,62 / 7,M35-39,ISR,2:27:57
Abebech Afework (F22),2:28:38,70,8 / 1,F20-24,ETH,2:28:38
Eric Wallor (M30),2:28:44,71,63 / 17,M30-34,"Palatine, IL, USA",2:28:44
Peter Mone (M30),2:28:53,72,64 / 18,M30-34,"Winnetka, IL, USA",2:28:53
Daniel Schlich (M21),2:29:18,73,65 / 6,M20-24,"West Point, NY, USA",2:28:37
Andy Williams (M26),2:29:37,74,66 / 33,M25-29,"Middlebury, IN, USA",2:29:37
Austin Hendrix (M24),2:29:55,75,67 / 7,M20-24,"Chicago, IL, USA",2:29:55
Daniel Martin (M30),2:30:13,76,68 / 19,M30-34,"Miami Shores, FL, USA",2:30:13
Travis Barczak (M23),2:30:37,77,69 / 8,M20-24,"Williamston, MI, USA",2:30:37
Cedric De Caluwe (M38),2:30:46,78,70 / 8,M35-39,"Brugge, BEL",2:29:24
Hector Rivera (M42),2:30:52,79,71 / 3,M40-44,"Fajardo, PR, USA",2:24:49
John Dood (M48),2:31:04,80,72 / 1,M45-49,"Grand Rapids, MI, USA",2:17:44
Juan Hernandez (M35),2:31:04,81,73 / 9,M35-39,"Mundelein, IL, MEX",2:31:04
Jose Zavala (M33),2:31:08,82,74 / 20,M30-34,"Santa Ana Maya, MEX",2:31:08
Mark Newton (M33),2:31:13,83,75 / 21,M30-34,"Chelmsford, GBR",2:31:13
Greg Wieczorek (M32),2:31:36,84,76 / 22,M30-34,"Halifax, NS, CAN",2:31:36
Dan Smith (M35),2:31:36,85,77 / 10,M35-39,"North Bay Village, FL, USA",2:31:36
Clara Santucci (F26),2:31:39,86,9 / 5,F25-29,"Dilliner, PA, USA",2:31:39
Nicolas Amouroux (M34),2:31:45,87,78 / 23,M30-34,FRA,2:31:45
Julien Lemeriel (M28),2:31:50,88,79 / 34,M25-29,FRA,2:31:50
Johnny Loria Solano (M39),2:31:52,89,80 / 11,M35-39,CRI,2:29:26
Grzegorz Czyz (M46),2:32:15,90,81 / 2,M45-49,"Bogumilowice, POL",2:21:15
Paul Odipo (M38),2:32:22,91,82 / 12,M35-39,"Cincinnati, OH, KEN",2:30:59
Chris Raulli (M25),2:32:32,92,83 / 35,M25-29,"Cicero, NY, USA",2:32:32
Melissa White (F32),2:32:37,93,10 / 3,F30-34,USA,2:32:04
Tom McGrath (M27),2:32:43,94,84 / 36,M25-29,"Edmonton, AB, CAN",2:32:43
Brian Floyd (M24),2:32:49,95,85 / 9,M20-24,"Scott Depot, WV, USA",2:32:49
Jerome Recker (M30),2:32:54,96,86 / 24,M30-34,"Lansing, MI, USA",2:32:54
Wesley Turner (M27),2:32:58,97,87 / 37,M25-29,"Erie, PA, USA",2:32:58
Tim Clarke (M31),2:33:18,98,88 / 25,M30-34,"Richmond, AUS",2:33:18
Jake Moe (M29),2:33:25,99,89 / 38,M25-29,"Anchorage, AK, USA",2:33:25
Stewart Ellington (M39),2:33:38,100,90 / 13,M35-39,"Knoxville, TN, USA",2:31:10
