"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Takashi Horiguchi (M33),2:20:32,30,30 / 4,M30-34,JPN,2:20:32
Yuki Moriwaki (M28),2:20:49,31,31 / 20,M25-29,JPN,2:20:49
Marc Jeuland (M33),2:21:18,32,32 / 5,M30-34,"Chapel Hill, NC, USA",2:21:18
Patrick Smyth (M26),2:21:34,33,33 / 21,M25-29,USA,2:21:34
Tim Tollefson (M27),2:21:44,34,34 / 22,M25-29,"Mammoth Lakes, CA, USA",2:21:44
Atsede Baysa (F25),2:22:03,35,1 / 1,F25-29,ETH,2:22:03
Rita Jeptoo (F31),2:22:04,36,2 / 1,F30-34,KEN,2:21:50
Lucy Kabuu (F28),2:22:41,37,3 / 2,F25-29,KEN,2:22:41
Liliya Shobukhova (F34),2:22:59,38,4 / 2,F30-34,RUS,2:21:34
Fidele Jefferson (M34),2:23:15,39,35 / 6,M30-34,"Flagstaff, AZ, USA",2:23:15
Caroline Rotich (F28),2:23:22,40,5 / 3,F25-29,"Waldorf, MD, USA",2:23:22
Tony Migliozzi (M23),2:23:28,41,36 / 7,M20-24,"North Canton, OH, USA",2:23:28
Nick Hird (M28),2:23:51,42,37 / 23,M25-29,"Naperville, IL, USA",2:23:51
Mohammed El Yamani (M48),2:24:43,43,38 / 1,M45-49,"Issy Les Moulineaux, FRA",2:11:57
Sean Duncan (M23),2:24:59,44,39 / 8,M20-24,"Gardner, MA, USA",2:24:59
Joseph Campanelli (M28),2:25:00,45,40 / 24,M25-29,"Toronto, ON, Canada",2:25:00
Douglas Maisey (M25),2:25:35,46,41 / 25,M25-29,"Chicago, IL, USA",2:25:35
Maria Konovalova (F38),2:25:38,47,6 / 1,F35-39,RUS,2:21:00
Graham Peck (M23),2:25:40,48,42 / 9,M20-24,"Lutherville, MD, USA",2:25:40
Kevin Johnson (M23),2:25:43,49,43 / 10,M20-24,"Hanover, NH, USA",2:25:43
Charlie Hurt (M29),2:25:54,50,44 / 26,M25-29,"Richmond, VA, USA",2:25:54
Michael Spain (M23),2:26:03,51,45 / 11,M20-24,"Normal, IL, USA",2:26:03
Fatuma Sado (F20),2:26:09,52,7 / 1,F20-24,ETH,2:26:02
Andy Derks (M32),2:26:23,53,46 / 7,M30-34,"Aurora, IL, USA",2:26:23
Kevin Havel (M22),2:26:28,54,47 / 12,M20-24,"Arlington Heights, IL, USA",2:26:23
Bert Jacoby (M29),2:26:31,55,48 / 27,M25-29,"Charlottesville, VA, USA",2:26:31
Mark Pilja (M32),2:26:47,56,49 / 8,M30-34,"San Francisco, CA, USA",2:26:47
Eric Wallor (M29),2:26:48,57,50 / 28,M25-29,"Palatine, IL, USA",2:26:48
Sebastien Baret (M35),2:26:54,58,51 / 2,M35-39,"New York, NY, USA",2:26:54
Renee Metivier Baillie (F30),2:27:17,59,8 / 3,F30-34,USA,2:27:13
Andreas Janker (M29),2:27:41,60,52 / 29,M25-29,"Röthenbach, GER",2:27:41
Jason Ayr (M25),2:27:58,61,53 / 30,M25-29,"Westfield, MA, USA",2:27:58
Ryan Delgado (M26),2:28:38,62,54 / 31,M25-29,"San Francisco, CA, USA",2:28:38
Tommy Ries (M25),2:28:53,63,55 / 32,M25-29,"Iowa City, IA, USA",2:28:53
Ryan Herzog (M32),2:29:22,64,56 / 9,M30-34,"Littleton, CO, USA",2:29:22
Christian Mercier (M38),2:29:24,65,57 / 3,M35-39,"Quebec, Quebec, USA",2:28:03
Ankur Tarneja (M30),2:29:30,66,58 / 10,M30-34,"Los Angeles, CA, USA",2:29:30
David Johnson (M23),2:29:37,67,59 / 13,M20-24,"Madison, WI, USA",2:29:37
Scott Wandzilak (M29),2:29:44,68,60 / 33,M25-29,"Marina Del Rey, CA, USA",2:29:44
Tomohiro Tsujimoto (M35),2:29:51,69,61 / 4,M35-39,"Osaka, JPN",2:29:51
Stuart Burton (M40),2:30:06,70,62 / 1,M40-44,"Beaverton, OR, USA",2:26:28
Phil Young (M26),2:30:38,71,63 / 34,M25-29,"North Liberty, IA, USA",2:30:38
Brian Condon (M26),2:30:42,72,64 / 35,M25-29,"Madison, WI, USA",2:30:42
Eric Bowles (M26),2:30:46,73,65 / 36,M25-29,"Los Angeles, CA, USA",2:30:46
Aaron Davidson (M28),2:31:10,74,66 / 37,M25-29,"Lenexa, KS, USA",2:31:10
Robert Wiley (M37),2:31:13,75,67 / 5,M35-39,"Gurnee, IL, USA",2:30:36
Tom McGrath (M26),2:31:17,76,68 / 38,M25-29,"Edmonton, AB, Canada",2:31:17
Roberto Verdin (M34),2:31:18,77,69 / 11,M30-34,"Chicago, IL, USA",2:31:18
Nicolai Naranjo Sturzenegger (M24),2:31:33,78,70 / 14,M20-24,"Essex Fells, NJ, USA",2:31:33
Russell Stein (M40),2:31:38,79,71 / 2,M40-44,"San Francisco, CA, USA",2:27:58
Andrew Jellema (M25),2:31:55,80,72 / 39,M25-29,"Lansing, IL, USA",2:31:55
Chris Vargo (M30),2:31:56,81,73 / 12,M30-34,"Colorado Springs, CO, USA",2:31:56
Mark Amondson (M29),2:31:58,82,74 / 40,M25-29,"Williston, ND, USA",2:31:58
Thiago Vinhal (M29),2:32:07,83,75 / 41,M25-29,"Belo Horizonte, BRA",2:32:07
J. Lindsey Dood (M47),2:32:10,84,76 / 2,M45-49,"Grand Rapids, MI, USA",2:19:57
Dot McMahan (F35),2:32:11,85,9 / 2,F35-39,USA,2:30:02
Thomas Adam (M26),2:32:13,86,77 / 42,M25-29,"Charlottesville, VA, USA",2:32:13
Brian Sames (M26),2:32:22,87,78 / 43,M25-29,"Shakopee, MN, USA",2:32:22
Stephanie Pezzullo (F30),2:32:42,88,10 / 4,F30-34,USA,2:32:38
Jason Karbelk (M25),2:32:50,89,79 / 44,M25-29,"San Francisco, CA, USA",2:32:50
Julius Rotich (M37),2:33:01,90,80 / 6,M35-39,"Des Moines, IA, USA",2:32:24
Christopher Desilets (M26),2:33:15,91,81 / 45,M25-29,"Rutherford, NJ, USA",2:33:15
Daniel Goding (M36),2:33:18,92,82 / 7,M35-39,"Loveland, CO, USA",2:33:08
Matthew Peabody (M22),2:33:20,93,83 / 15,M20-24,"Portland, ME, USA",2:33:15
Justin Johnson (M29),2:33:42,94,84 / 46,M25-29,"Colorado Springs, CO, USA",2:33:42
Wesley Turner (M26),2:33:48,95,85 / 47,M25-29,"Erie, PA, USA",2:33:48
Heleno Ribeiro (M39),2:33:50,96,86 / 8,M35-39,"Belo Horizonte, BRA",2:31:22
Joshua Korth (M24),2:34:21,97,87 / 16,M20-24,"New York, NY, USA",2:34:21
Brian Scott (M34),2:34:32,98,88 / 13,M30-34,"Naperville, IL, USA",2:34:32
Adrian Canossa (M38),2:34:34,99,89 / 9,M35-39,"San Jose, SAN JOSE, CRI",2:33:10
Mike Roth (M24),2:34:35,100,90 / 17,M20-24,"Grand Rapids, MI, USA",2:34:35
