"Last Name, First Name",OverAll,Sex Place,DIV,Net Time,Country
Gelete Burka (F),52,3 / 1,F30-34,2:20:55,ETH
Daniel Craighead (M),53,50 / 27,M25-29,2:21:12,USA
Matthew Hillard (M),54,51 / 28,M25-29,2:21:17,USA
Matt Chorney (M),55,52 / 12,M30-34,2:21:26,USA
Takaya Sakamoto (M),56,53 / 1,M40-44,2:21:32,JPN
Aaron Nelson (M),57,54 / 29,M25-29,2:21:37,USA
Andrew Erskine (M),58,55 / 30,M25-29,2:21:39,USA
Jordan Bramblett (M),59,56 / 10,M20-24,2:21:40,USA
Glen Burkhardt (M),60,57 / 31,M25-29,2:21:57,USA
Ramiro Guillen (M),61,58 / 4,M35-39,2:22:00,USA
Zachary Ripley (M),62,59 / 13,M30-34,2:22:09,USA
Zachary Barker (M),63,60 / 32,M25-29,2:22:18,USA
Benjamin Hall (M),64,61 / 14,M30-34,2:22:24,USA
Andrew Rylaarsdam (M),65,62 / 11,M20-24,2:22:27,USA
Kenny Rayner (M),66,63 / 33,M25-29,2:22:31,USA
Marius Ruth (M),67,64 / 34,M25-29,2:22:33,NOR
Alex Price (M),68,65 / 35,M25-29,2:22:33,USA
Nathanael Williams (M),69,66 / 36,M25-29,2:22:46,USA
Ryan Corby (M),70,67 / 5,M35-39,2:22:51,USA
Fan Zhou (M),71,68 / 15,M30-34,2:22:59,USA
Mitchell Ammons (M),72,69 / 16,M30-34,2:23:08,USA
Cesar Diaz (M),73,70 / 17,M30-34,2:23:22,CHI
Yonatan Abebe (M),74,71 / 18,M30-34,2:23:48,USA
Ryan Moncrieff (M),75,72 / 37,M25-29,2:23:54,USA
Daniel Glaz (M),76,73 / 6,M35-39,2:23:57,USA
Kent Smith (M),77,74 / 38,M25-29,2:24:07,USA
Raul Arcos (M),78,75 / 39,M25-29,2:24:28,USA
Meng-Tsung Chu (M),79,76 / 7,M35-39,2:24:41,TWN
Matthew Hillyard (M),80,77 / 19,M30-34,2:24:50,USA
Jeremy Craven (M),81,78 / 12,M20-24,2:24:51,USA
Stephen Clevenger (M),82,79 / 20,M30-34,2:24:54,USA
Aaron Woodman (M),83,80 / 21,M30-34,2:24:57,GBR
Steven Mance (M),84,81 / 8,M35-39,2:25:12,USA
Brandon Ellis (M),85,82 / 40,M25-29,2:25:14,USA
Jason Brosseau (M),86,83 / 22,M30-34,2:25:16,USA
Simon Poulin (M),87,84 / 9,M35-39,2:25:18,CAN
Morten Urdal Bakke (M),88,85 / 41,M25-29,2:25:22,NOR
Adrian Haywas (M),89,86 / 23,M30-34,2:25:26,USA
Jack Randall (M),90,87 / 42,M25-29,2:25:26,USA
Emma Bates (F),91,4 / 3,F25-29,2:25:27,USA
Andrew Cartwright (M),92,88 / 43,M25-29,2:25:28,USA
Matthew Wiersum (M),93,89 / 24,M30-34,2:25:29,USA
Stephen Vangampleare (M),94,90 / 44,M25-29,2:25:34,USA
Nicholas Spector (M),95,91 / 45,M25-29,2:25:41,USA
Robert Scanlon (M),96,92 / 46,M25-29,2:25:58,USA
Sam Krieg (M),97,93 / 2,M40-44,2:25:58,USA
Corey Purcella (M),98,94 / 47,M25-29,2:25:59,USA
Yu Hsiao (M),99,95 / 48,M25-29,2:26:01,TWN
Caleb Emberton (M),100,96 / 25,M30-34,2:26:03,USA

