"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Edna Kiplagat (F36),2:23:28,28,2 / 1,F35-39,,2:20:42
Travis Morrison (M24),2:23:30,29,27 / 4,M20-24,"Hoffman Estates, IL, USA",2:23:30
Valentine Kipketer (F23),2:23:41,30,3 / 1,F20-24,,2:23:41
Dustin Emerick (M27),2:23:58,31,28 / 18,M25-29,"Evansville, IN, USA",2:23:58
Tyler Eustance (M24),2:24:07,32,29 / 5,M20-24,"Binghamton, NY, USA",2:24:07
Clint Wells (M41),2:24:10,33,30 / 1,M40-44,"Boulder, CO, USA",2:19:32
Andy Williams (M29),2:24:35,34,31 / 19,M25-29,"Wolcottville, IN, USA",2:24:35
Purity Rionoripo (F23),2:24:47,35,4 / 2,F20-24,,2:24:47
Yebrgual Melese (F26),2:24:49,36,5 / 2,F25-29,,2:24:49
Rui Yong Soh (M25),2:24:55,37,32 / 20,M25-29,Flagstaff,2:24:55
Chris Robertson (M24),2:24:56,38,33 / 6,M20-24,"Chicago, IL, USA",2:24:56
Jeremy Bennie (M22),2:25:28,39,34 / 7,M20-24,"Charlottesville, VA, USA",2:25:23
Wesley Turner (M30),2:25:29,40,35 / 7,M30-34,"Danville, VA, USA",2:25:29
Sean Welleck (M25),2:25:53,41,36 / 21,M25-29,"San Francisco, CA, USA",2:25:53
Matthew Marol (M25),2:26:08,42,37 / 22,M25-29,"Chicago, IL, USA",2:26:08
Matt Rand (M25),2:26:30,43,38 / 23,M25-29,"Valley Stream, NY, USA",2:26:30
Coree Woltering (M26),2:26:44,44,39 / 24,M25-29,"Ottawa, IL, USA",2:26:44
Blue Benadum (M36),2:27:05,45,40 / 1,M35-39,"Los Angeles, CA, USA",2:26:56
Rolf Steier (M32),2:27:08,46,41 / 8,M30-34,"Temple Terrace, FL, USA",2:27:08
Raul Fernandez-Hernandez (M41),2:27:14,47,42 / 2,M40-44,"Madrid, MADRID",2:22:30
Oscar Medina (M24),2:27:18,48,43 / 8,M20-24,"Chicago, IL, USA",2:27:18
Niko Jeftich (M24),2:27:36,49,44 / 9,M20-24,"Chicago, IL, USA",2:27:36
Logan Beausoleil (M29),2:27:42,50,45 / 25,M25-29,"Bettendorf, IA, USA",2:27:42
Zachary Hoagland (M27),2:27:54,51,46 / 26,M25-29,"Hatfield, PA, USA",2:27:54
Chris Siemers (M35),2:28:26,52,47 / 2,M35-39,"Littleton, CO, USA",2:28:26
Matthew Kruger (M28),2:28:52,53,48 / 27,M25-29,"St. Louis, MO, USA",2:28:52
Atsede Baysa (F29),2:28:53,54,6 / 3,F25-29,,2:28:53
Brett Lustgarten (M26),2:29:21,55,49 / 28,M25-29,"Carol Stream, IL, USA",2:29:21
Kyle Marks (M26),2:29:25,56,50 / 29,M25-29,"New York, NY, USA",2:29:25
Daniel Glaz (M33),2:30:01,57,51 / 9,M30-34,"Chicago, IL, USA",2:30:01
Patrick Kuhlmann (M45),2:30:08,58,52 / 1,M45-49,"Washington, DC, USA",2:20:29
Bryan Morton (M34),2:30:14,59,53 / 10,M30-34,"Austin, TX, USA",2:30:14
Serena Burla (F34),2:30:40,60,7 / 1,F30-34,"Stafford, VA, USA",2:29:11
Kyle Mena (M31),2:31:06,61,54 / 11,M30-34,"Portage, MI, USA",2:31:06
Damon Valenzona (M30),2:31:08,62,55 / 12,M30-34,"San Diego, CA, USA",2:31:08
James Brisbois (M24),2:31:20,63,56 / 10,M20-24,"New York, NY, USA",2:31:20
Nicolas Santos (M37),2:31:21,64,57 / 3,M35-39,Bogota,2:30:44
Nicholas Stender (M23),2:31:43,65,58 / 11,M20-24,"Harrisburg, PA, USA",2:31:43
Brett Burdick (M25),2:31:44,66,59 / 30,M25-29,"Chicago, IL, USA",2:31:44
Jeff Ares (M32),2:31:53,67,60 / 13,M30-34,"Ny, NY, USA",2:31:53
James Akita (M36),2:31:58,68,61 / 4,M35-39,"Lombard, IL, USA",2:31:48
Jose Tomas Ruiz-Tagle Barros (M30),2:32:02,69,62 / 14,M30-34,Santiago,2:32:02
Michael Wardian (M42),2:32:02,70,63 / 3,M40-44,"Arlington, Virginia",2:25:56
Tom Mcgrath (M30),2:32:06,71,64 / 15,M30-34,"Edmonton, AB, Canada",2:32:06
Mike Roth (M28),2:32:12,72,65 / 31,M25-29,"Detroit, MI, USA",2:32:12
Agnieszka Mierzejewska (F30),2:32:13,73,8 / 2,F30-34,,2:32:09
Daniel Nielsen (M23),2:32:18,74,66 / 12,M20-24,"Andover, MN, USA",2:32:18
Zachary Meineke (M28),2:32:21,75,67 / 32,M25-29,"Wauwatosa, WI, USA",2:32:21
Bryan Burk (M26),2:32:28,76,68 / 33,M25-29,"Spring Arbor, MI, USA",2:32:28
Joel Bendtsen (M31),2:32:41,77,69 / 16,M30-34,"Chicago, IL, USA",2:32:41
Daniel Craighead (M26),2:32:50,78,70 / 34,M25-29,"State College, PA, USA",2:32:50
Matthew Stanesby (M34),2:32:53,79,71 / 17,M30-34,"Chicago, IL, USA",2:32:53
Cameron Rieger (M25),2:33:02,80,72 / 35,M25-29,"Chicago, IL, USA",2:33:02
Brian Dixon (M24),2:33:09,81,73 / 13,M20-24,"St. Louis, MO, USA",2:33:09
Jason Mann (M36),2:33:18,82,74 / 5,M35-39,"North Haven, ME, USA",2:33:08
Jason Reilly (M33),2:33:20,83,75 / 18,M30-34,"East Greenwich, RI, USA",2:33:20
Ruberti Frederic (M42),2:33:24,84,76 / 4,M40-44,Sevelinges,2:27:14
Vinicius Stucchi (M39),2:33:27,85,77 / 6,M35-39,"Sao Paulo, SAO PAULO",2:30:59
Matthew Grey (M28),2:33:28,86,78 / 36,M25-29,"Portland, OR, USA",2:33:28
Fan Zhou (M28),2:33:28,87,79 / 37,M25-29,"Boston, MA, USA",2:33:28
Sarah Crouch (F27),2:33:48,88,9 / 4,F25-29,"Moorehead, KY, USA",2:33:48
Mark Sidebottom (M25),2:33:52,89,80 / 38,M25-29,"Bethlehem, PA, USA",2:33:52
Alia Gray (F27),2:34:00,90,10 / 5,F25-29,"Boulder, CO, USA",2:34:00
Stephen Chaloner (M29),2:34:27,91,81 / 39,M25-29,"Nashua, NH, USA",2:34:27
Gonzalo Zapata (M37),2:34:34,92,82 / 7,M35-39,Santiago,2:33:56
Yiu Cheong Wun (M31),2:34:45,93,83 / 19,M30-34,"N.T., Hong Kong",2:34:45
Sasha Daniels (M44),2:35:04,94,84 / 5,M40-44,"Auckland, Remuera",2:26:22
Hiroki Nakajima (M27),2:35:05,95,85 / 40,M25-29,,2:35:05
Zak Miller (M30),2:35:17,96,86 / 20,M30-34,"Washington, DC, USA",2:35:17
Pierre Slusarek (M50),2:35:24,97,87 / 1,M50-54,"La Tuque, QC, Canada",2:19:11
Bryan Huberty (M37),2:35:35,98,88 / 8,M35-39,"Miami Beach, FL, USA",2:34:57
Jose Madera (M25),2:35:42,99,89 / 41,M25-29,"Santa Ana, CA, USA",2:35:42
Kevin Gries (M25),2:35:52,100,90 / 42,M25-29,"Muncie, IN, USA",2:35:52
