Year,Country,Gender,Age,Time,Seconds
2015,,M,35.0,02:15:49,8149.0
2015,,M,20.0,02:15:54,8154.0
2015,,M,30.0,02:15:57,8157.0
2015,,M,20.0,02:16:17,8177.0
2015,,M,30.0,02:16:18,8178.0
2015,,M,20.0,02:16:30,8190.0
2015,,M,20.0,02:16:45,8205.0
2015,,M,35.0,02:16:55,8215.0
2015,,M,35.0,02:17:19,8239.0
2015,,M,20.0,02:17:44,8264.0
2015,,M,30.0,02:17:48,8268.0
2015,,M,20.0,02:18:12,8292.0
2015,,M,35.0,02:18:40,8320.0
2015,,M,30.0,02:18:44,8324.0
2015,,M,30.0,02:19:02,8342.0
2015,,M,30.0,02:19:09,8349.0
2015,,M,20.0,02:19:17,8357.0
2015,,M,30.0,02:19:30,8370.0
2015,,M,20.0,02:20:04,8404.0
2015,,M,30.0,02:20:16,8416.0
2015,,M,30.0,02:20:21,8421.0
2015,,M,30.0,02:20:38,8438.0
2015,,M,30.0,02:20:40,8440.0
2015,,M,35.0,02:21:09,8469.0
2015,,M,30.0,02:21:13,8473.0
2015,,M,35.0,02:21:31,8491.0
2015,,M,35.0,02:21:34,8494.0
2015,,M,30.0,02:21:51,8511.0
2015,,M,35.0,02:21:51,8511.0
2015,,M,30.0,02:22:18,8538.0
2015,,M,20.0,02:23:24,8604.0
2015,,M,20.0,02:23:29,8609.0
2015,,M,20.0,02:23:39,8619.0
2015,,M,30.0,02:23:55,8635.0
2015,,M,20.0,02:23:56,8636.0
2015,,M,20.0,02:24:00,8640.0
2015,,M,30.0,02:24:03,8643.0
2015,,M,35.0,02:24:28,8668.0
2015,,M,35.0,02:24:40,8680.0
2015,,M,30.0,02:24:47,8687.0
2015,,M,35.0,02:24:54,8694.0
2015,,M,20.0,02:25:11,8711.0
2015,,M,30.0,02:25:12,8712.0
2015,,M,35.0,02:25:13,8713.0
2015,,M,30.0,02:25:20,8720.0
2015,,M,35.0,02:25:29,8729.0
2015,,M,30.0,02:25:37,8737.0
2015,,M,40.0,02:25:38,8738.0
2015,,M,30.0,02:25:40,8740.0
2015,,M,35.0,02:25:49,8749.0
2015,,M,30.0,02:25:56,8756.0
2015,,M,20.0,02:26:00,8760.0
2015,,M,35.0,02:26:01,8761.0
2015,,M,30.0,02:26:07,8767.0
2015,,M,20.0,02:26:13,8773.0
2015,,M,40.0,02:26:13,8773.0
2015,,M,20.0,02:26:23,8783.0
2015,,M,40.0,02:26:24,8784.0
2015,,M,40.0,02:26:27,8787.0
2015,,M,35.0,02:26:28,8788.0
2015,,M,35.0,02:26:32,8792.0
2015,,M,35.0,02:26:35,8795.0
2015,,M,20.0,02:26:37,8797.0
2015,,M,30.0,02:26:38,8798.0
2015,,M,20.0,02:26:42,8802.0
2015,,M,20.0,02:26:43,8803.0
2015,,M,20.0,02:26:44,8804.0
2015,,M,40.0,02:26:44,8804.0
2015,,M,30.0,02:26:45,8805.0
2015,,M,30.0,02:26:51,8811.0
2015,,M,30.0,02:26:51,8811.0
2015,,M,40.0,02:26:52,8812.0
2015,,M,30.0,02:26:54,8814.0
2016,,M,30.0,02:03:03,7383.0
2016,,M,30.0,02:03:13,7393.0
2016,,M,20.0,02:05:31,7531.0
2016,,M,20.0,02:06:56,7616.0
2016,,M,20.0,02:07:47,7667.0
2016,,M,30.0,02:09:29,7769.0
2016,,M,30.0,02:09:46,7786.0
2016,,M,20.0,02:09:48,7788.0
2016,,M,30.0,02:10:01,7801.0
2016,,M,35.0,02:10:22,7822.0
2016,,M,40.0,02:10:24,7824.0
2016,,M,30.0,02:10:29,7829.0
2016,,M,20.0,02:11:03,7863.0
2016,,M,20.0,02:13:16,7996.0
2016,,M,40.0,02:13:57,8037.0
2016,,M,30.0,02:15:02,8102.0
2016,,M,30.0,02:15:10,8110.0
2016,,M,20.0,02:16:07,8167.0
2016,,M,35.0,02:16:49,8209.0
2016,,M,35.0,02:16:58,8218.0
2016,,M,20.0,02:17:56,8276.0
2016,,M,30.0,02:18:04,8284.0
2016,,M,30.0,02:18:18,8298.0
2016,,M,30.0,02:18:52,8332.0
2016,,M,20.0,02:18:55,8335.0
2016,,M,20.0,02:18:58,8338.0
2016,,M,30.0,02:19:00,8340.0
2016,,M,30.0,02:19:17,8357.0
2016,,M,20.0,02:19:23,8363.0
2016,,M,20.0,02:19:25,8365.0
2016,,M,30.0,02:20:12,8412.0
2016,,M,40.0,02:20:21,8421.0
2016,,M,20.0,02:20:28,8428.0
2016,,M,20.0,02:20:46,8446.0
2016,,M,20.0,02:21:46,8506.0
2016,,M,20.0,02:21:49,8509.0
2016,,M,20.0,02:21:53,8513.0
2016,,M,30.0,02:22:50,8570.0
2016,,M,30.0,02:23:01,8581.0
2016,,M,30.0,02:23:45,8625.0
2016,,M,20.0,02:24:09,8649.0
2016,,M,30.0,02:24:23,8663.0
